Semester, Subject, CatalogNumber, Location, EnrolmentCapacity, EnrolmentTotal, Instructors, ComponentCode
1147, CMPT, 250, BURNABY, 130, 129, Anthony Dixon, LEC
1147, CMPT, 250, BURNABY, 26, 26, Anthony Dixon, LAB
1147, CMPT, 250, BURNABY, 26, 26, Anthony Dixon, LAB
1147, CMPT, 250, BURNABY, 25, 25, Anthony Dixon, LAB
1147, CMPT, 250, BURNABY, 26, 26, Anthony Dixon, LAB
1147, CMPT, 250, BURNABY, 26, 26, Anthony Dixon, LAB
1147, CMPT, 250, SURREY, 81, 81, BRIAN FRASER, LEC
1147, CMPT, 250, SURREY, 24, 24, .FACULTY, LAB
1147, CMPT, 250, SURREY, 24, 24, BRIAN FRASER, LAB
1147, CMPT, 250, SURREY, 23, 23, BRIAN FRASER, LAB
1147, CMPT, 250, SURREY, 10, 10, BRIAN FRASER, LAB